factor,missing_fraction
turnover,0.00010877472075489656
log_market_cap,0.0002719368018872414
short_reversal,0.0005982609641519311
illiquidity,0.0007614230452842759
momentum_6_1,0.0032428463625053536
volatility_12m,0.0054659297179335525
momentum_12_1,0.006608064285859966
dividend_yield_12m,0.0067984200471810355
leverage,0.13951037778820202
book_to_market,0.13963954776909845
cash_to_assets,0.1398027098502308
sales_yield,0.14146832276179017
earnings_yield,0.14151591170212044
asset_growth_yoy,0.14250168260896168
roe,0.14426927182122876
roa,0.14430326392146464
sales_growth_yoy,0.14506468696674893
earnings_growth_yoy,0.1450714853867961
cfo_roa,0.1569755188894101
operating_margin,0.15727464937148608
accruals,0.15828761395851604
capex_to_assets,0.1621423181252677
gross_profitability,0.18907765835219895
ebitda_to_ev,0.23047323801948427
net_buyback_to_assets,0.2631260495060948
current_ratio,0.2879334842582584
